學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
0001,國立政治大學,140101,教育學系,D 日,D 博士,8,13,12,5,9,7,12,7,9,3,8,3,1,3,0,0,30 臺北市,1 一般
0001,國立政治大學,140101,教育學系,D 日,M 碩士,4,12,6,14,3,4,0,5,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,140101,教育學系,D 日,B 學士,16,43,19,42,15,37,21,41,0,0,0,0,0,0,13,11,30 臺北市,1 一般
0001,國立政治大學,140203,華語文教學博士學位學程,D 日,D 博士,1,1,0,2,0,2,0,2,0,4,0,1,0,2,0,0,30 臺北市,1 一般
0001,國立政治大學,140203,華語文教學碩士學位學程,D 日,M 碩士,4,12,2,10,2,13,1,4,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,140401,幼兒教育研究所,D 日,M 碩士,4,15,2,10,1,5,0,4,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,140701,教育行政與政策研究所,D 日,M 碩士,2,13,8,8,4,13,1,3,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,140709,學校行政碩士在職專班,N 職,M 碩士,7,16,11,12,9,13,2,8,3,1,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,220101,台灣文學研究所,D 日,D 博士,0,2,1,2,1,2,0,0,0,1,1,1,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,220101,台灣文學研究所,D 日,M 碩士,4,2,3,6,1,7,3,7,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,220201,中國文學系,D 日,D 博士,9,0,7,5,2,13,5,5,5,4,3,4,2,1,0,0,30 臺北市,1 一般
